title,genre,budget,runtime,year,month,revenue
Space Jam,Animation,80000000,88.0,1996,11,250200000
The Pink Panther,Action,0,93.0,2006,1,0
The Day the Earth Stood Still,Drama,80000000,104.0,2008,12,233093859
Conspiracy Theory,Action,75000000,135.0,1997,8,136982834
Fury,,68000000,135.0,2014,10,211817906
Six Days Seven Nights,Action,70000000,98.0,1998,6,164000000
Yogi Bear,Comedy,80000000,80.0,2010,12,201584141
Spirit: Stallion of the Cimarron,,80000000,83.0,2002,5,122563539
Zookeeper,Comedy,80000000,102.0,2011,7,169852759
Lost in Space,Adventure,80000000,130.0,1998,4,136159423
The Manchurian Candidate,Drama,80000000,129.0,2004,7,96105964
Déjà Vu,Romance,0,117.0,1998,4,0
Hotel Transylvania 2,Animation,80000000,89.0,2015,9,473226958
Fantasia 2000,Animation,80000000,74.0,1999,12,90874570
The Time Machine,Science Fiction,80000000,96.0,2002,3,123729176
Mighty Joe Young,Action,90000000,114.0,1998,12,0
Swordfish,Action,102000000,99.0,2001,6,147080413
The Legend of Zorro,Action,75000000,129.0,2005,10,142400065
What Dreams May Come,Drama,85000000,113.0,1998,10,71485043
Little Nicky,Comedy,85000000,90.0,2000,11,0
The Brothers Grimm,Adventure,88000000,118.0,2005,8,105316267
Mars Attacks!,Comedy,70000000,106.0,1996,12,101371017
Evolution,,0,81.0,2015,9,0
The Edge,Action,0,117.0,1997,9,43312294
Surrogates,Action,80000000,89.0,2009,9,122444772
Thirteen Days,Drama,80000000,145.0,2000,12,34566746
Daylight,Action,80000000,115.0,1996,12,159212469
Walking With Dinosaurs,Animation,80000000,87.0,2013,12,126546518
Battlefield Earth,Action,44000000,118.0,2000,5,21400000
Looney Tunes: Back in Action,Animation,80000000,90.0,2003,11,68514844
Nine,Drama,80000000,112.0,2009,12,53825515
Timeline,Action,80000000,116.0,2003,11,19480739
The Postman,Drama,80000000,177.0,1997,12,17626234
Babe: Pig in the City,Adventure,90000000,92.0,1998,11,69131860
The Last Witch Hunter,Fantasy,90000000,106.0,2015,10,146936910
Red Planet,Thriller,80000000,106.0,2000,11,33463969
Arthur and the Invisibles,Adventure,86000000,94.0,2006,12,107944236
Oceans,,0,84.0,2009,10,19406406
A Sound of Thunder,Thriller,80000000,110.0,2005,5,5989640
Pompeii,Action,130000000,105.0,2014,2,117831631
Top Cat Begins,Comedy,8000000,89.0,2015,10,0
A Beautiful Mind,Drama,60000000,135.0,2001,12,313542341
The Lion King,,45000000,89.0,1994,6,788241776
Journey 2: The Mysterious Island,Adventure,79000000,94.0,2012,1,355692760
Cloudy with a Chance of Meatballs 2,Animation,78000000,95.0,2013,9,248384621
Red Dragon,Crime,78000000,124.0,2002,9,209196298
Hidalgo,,100000000,136.0,2004,3,108103450
Jack and Jill,Comedy,79000000,91.0,2011,11,149673788
2 Fast 2 Furious,Action,76000000,107.0,2003,6,236350661
The Little Prince,Adventure,64000000,92.0,2015,7,97571250
The Invasion,Science Fiction,80000000,99.0,2007,8,15071514
The Adventures of Rocky & Bullwinkle,Action,76000000,88.0,2000,6,35134820
The Secret Life of Pets,Animation,75000000,87.0,2016,6,875958308
The League of Extraordinary Gentlemen,Fantasy,78000000,110.0,2003,7,179265204
Despicable Me 2,Animation,76000000,98.0,2013,6,970761885
Independence Day,Action,75000000,145.0,1996,6,816969268
The Lost World: Jurassic Park,Adventure,73000000,129.0,1997,5,229074524
Madagascar,,75000000,86.0,2005,5,532680671
Children of Men,Drama,76000000,109.0,2006,9,69959751
X-Men,Adventure,75000000,104.0,2000,7,296339527
Wanted,Action,75000000,110.0,2008,6,258270008
The Rock,Action,75000000,136.0,1996,6,335062621
Ice Age: The Meltdown,Animation,80000000,91.0,2006,3,660940780
50 First Dates,Comedy,75000000,99.0,2004,2,196482882
Hairspray,,50000000,117.0,2007,7,90450008
Exorcist: The Beginning,Horror,80000000,114.0,2004,8,78000586
Inspector Gadget,Action,75000000,78.0,1999,7,0
Now You See Me,Thriller,75000000,115.0,2013,5,117698894
Grown Ups,Comedy,80000000,102.0,2010,6,271430189
The Terminal,Comedy,60000000,128.0,2004,6,219417255
Hotel for Dogs,Comedy,35000000,100.0,2009,1,73034460
Vertical Limit,Action,75000000,124.0,2000,12,215663859
Charlie Wilson's War,Comedy,75000000,102.0,2007,12,119000410
Shark Tale,Animation,75000000,90.0,2004,9,367275019
Dreamgirls,Drama,70000000,134.0,2006,12,154937680
Be Cool,Comedy,53000000,118.0,2005,3,95226116
Munich,Drama,70000000,164.0,2005,12,130358911
Tears of the Sun,Action,70000000,121.0,2003,3,85632458
Killers,Action,75000000,100.0,2010,6,98159963
The Man from U.N.C.L.E.,Comedy,75000000,116.0,2015,8,108145109
Spanglish,Comedy,80000000,130.0,2004,12,55041367
Monster House,Animation,75000000,91.0,2006,7,140175006
Bandits,Action,75000000,123.0,2001,10,67631903
First Knight,Action,55000000,134.0,1995,7,127600435
Anna and the King,Drama,75000000,148.0,1999,12,0
Immortals,Fantasy,75000000,110.0,2011,11,226904017
Hostage,,52000000,113.0,2005,3,77944725
Titan A.E.,Animation,75000000,94.0,2000,6,36754634
Hollywood Homicide,Action,75000000,116.0,2003,6,51142659
Soldier,Action,75000000,99.0,1998,10,14567883
Carriers,Action,0,84.0,2009,9,5802422
Monkeybone,Adventure,75000000,93.0,2001,2,5409517
Flight of the Phoenix,Action,45000000,113.0,2004,12,21009180
Unbreakable,Science Fiction,75000000,106.0,2000,11,248118121
Minions,,74000000,91.0,2015,6,1156730962
Sucker Punch,Action,82000000,110.0,2011,3,89792502
Snake Eyes,Crime,73000000,98.0,1998,8,103891409
Sphere,Science Fiction,75000000,134.0,1998,2,13100000
The Angry Birds Movie,,73000000,97.0,2016,5,349779543
Fool's Gold,Romance,70000000,112.0,2008,2,111231041
Funny People,Comedy,75000000,146.0,2009,7,61458982
The Kingdom,Thriller,70000000,110.0,2007,8,86658558
Talladega Nights: The Ballad of Ricky Bobby,Comedy,72500000,116.0,2006,8,162966177
Dr. Dolittle 2,Comedy,70000000,87.0,2001,6,176104344
Braveheart,Action,72000000,177.0,1995,5,210000000
Jarhead,Drama,72000000,125.0,2005,11,96889998
The Simpsons Movie,Animation,75000000,87.0,2007,7,527068851
The Majestic,Drama,72000000,152.0,2001,12,37317558
Driven,Action,94000000,116.0,2001,4,54744738
Two Brothers,Adventure,74500000,109.0,2004,4,62172050
The Village,Drama,60000000,108.0,2004,7,256697520
Doctor Dolittle,Comedy,71000000,85.0,1998,6,294456605
Signs,Drama,72000000,106.0,2002,8,408247917
Shrek 2,Adventure,150000000,93.0,2004,5,919838758
Cars,Animation,120000000,117.0,2006,6,461983149
Runaway Bride,Comedy,70000000,116.0,1999,7,309457509
xXx,Action,70000000,124.0,2002,8,277448382
The SpongeBob Movie: Sponge Out of Water,Animation,74000000,93.0,2015,2,311594032
Ransom,Action,80000000,117.0,1996,11,309492681
Inglourious Basterds,Drama,70000000,153.0,2009,8,319131050
Hook,Adventure,70000000,144.0,1991,12,300854823
Die Hard 2,Action,70000000,124.0,1990,7,240031094
S.W.A.T.,Action,80000000,117.0,2003,8,116643346
Vanilla Sky,Drama,68000000,136.0,2001,12,203388341
Lady in the Water,Drama,75000000,110.0,2006,7,42285169
AVP: Alien vs. Predator,Adventure,70000000,101.0,2004,8,171183863
Alvin and the Chipmunks: The Squeakquel,Comedy,75000000,88.0,2009,12,443140005
We Were Soldiers,Action,75000000,138.0,2002,3,114660784
Olympus Has Fallen,Action,70000000,120.0,2013,3,161025640
Star Trek: Insurrection,Science Fiction,70000000,103.0,1998,12,118000000
Battle: Los Angeles,Action,70000000,116.0,2011,3,202466756
Big Fish,Adventure,70000000,125.0,2003,12,122919055
Wolf,Fantasy,0,125.0,1994,6,0
War Horse,Drama,66000000,146.0,2011,12,177584879
The Monuments Men,,70000000,118.0,2014,1,154984035
The Abyss,Adventure,70000000,139.0,1989,8,90000098
Wall Street: Money Never Sleeps,Drama,70000000,133.0,2010,9,134748021
Dracula Untold,Horror,70000000,92.0,2014,10,215529201
The Siege,Drama,70000000,116.0,1998,11,116672912
Stardust,Adventure,70000000,127.0,2007,8,135560026
Seven Years in Tibet,Adventure,70000000,136.0,1997,9,131457682
The Dilemma,Comedy,70000000,111.0,2011,1,67112664
Bad Company,Action,70000000,116.0,2002,6,65977295
Doom,Adventure,60000000,105.0,2005,10,55987321
I Spy,Action,70000000,97.0,2002,10,33561137
Underworld: Awakening,Fantasy,70000000,88.0,2012,1,160112671
Rock of Ages,Comedy,75000000,123.0,2012,6,59418613
Hart's War,Drama,70000000,125.0,2002,2,32287044
Killer Elite,Action,66000000,116.0,2011,9,57777106
Rollerball,Action,0,98.0,2002,2,0
Ballistic: Ecks vs. Sever,Action,70000000,91.0,2002,9,19924033
Hard Rain,Thriller,70000000,97.0,1998,1,19870567
Osmosis Jones,Adventure,75000000,95.0,2001,8,13596911
Legends of Oz: Dorothy's Return,Animation,70000000,88.0,2013,6,18662027
Blackhat,Crime,70000000,133.0,2015,1,17752940
Sky Captain and the World of Tomorrow,,70000000,107.0,2004,9,57958696
Basic Instinct 2,Crime,70000000,114.0,2006,3,38629478
Escape Plan,Action,50000000,115.0,2013,10,122915111
The Legend of Hercules,Action,70000000,99.0,2014,1,61279452
The Sum of All Fears,Thriller,68000000,124.0,2002,5,193000000
The Twilight Saga: Eclipse,Adventure,68000000,124.0,2010,6,698491347
The Score,Action,68000000,124.0,2001,7,71069884
Despicable Me,Animation,69000000,95.0,2010,7,543513985
Money Train,Action,60000000,103.0,1995,11,35431113
Ted 2,Comedy,68000000,115.0,2015,6,217022588
Agora,Adventure,70000000,127.0,2009,5,39041505
Mystery Men,Adventure,68000000,121.0,1999,8,29762011
Hall Pass,Comedy,36000000,105.0,2011,2,83160734
The Insider,Drama,90000000,157.0,1999,10,60289912
The Finest Hours,Action,80000000,114.0,2016,1,52099090
Body of Lies,Action,70000000,128.0,2008,10,113280098
Dinner for Schmucks,Comedy,69000000,114.0,2010,7,86387857
Abraham Lincoln: Vampire Hunter,Action,69000000,94.0,2012,6,112265139
Entrapment,Romance,66000000,112.0,1999,4,212404396
The X Files,,66000000,121.0,1998,6,189198313
The Last Legion,Action,67000000,102.0,2007,4,25303038
Saving Private Ryan,Drama,70000000,169.0,1998,7,481840909
Need for Speed,Action,66000000,130.0,2014,3,203277636
What Women Want,Comedy,70000000,127.0,2000,12,374111707
Ice Age,Animation,59000000,81.0,2002,3,383257136
Dreamcatcher,Drama,68000000,136.0,2003,3,75715436
Lincoln,,65000000,149.0,2012,11,275293450
The Matrix,Action,63000000,136.0,1999,3,463517383
Apollo 13,Drama,52000000,140.0,1995,6,355237933
The Santa Clause 2,Fantasy,65000000,104.0,2002,10,172855065
Les Misérables,Drama,61000000,157.0,2012,12,441809770
You've Got Mail,Comedy,65000000,119.0,1998,12,250821495
Step Brothers,Comedy,65000000,98.0,2008,7,128107642
The Mask of Zorro,Action,95000000,136.0,1998,7,250288523
Due Date,Comedy,65000000,95.0,2010,11,211780824
Unbroken,Drama,65000000,137.0,2014,12,163442937
Space Cowboys,Action,65000000,130.0,2000,7,128884132
Cliffhanger,Action,70000000,112.0,1993,5,255000211
Broken Arrow,Action,50000000,108.0,1996,2,150270147
The Kid,Fantasy,65000000,104.0,2000,7,69700000
World Trade Center,Drama,63000000,128.0,2006,8,162945894
Mona Lisa Smile,Drama,65000000,117.0,2003,12,0
The Dictator,Comedy,65000000,83.0,2012,5,179379533
Eyes Wide Shut,,65000000,159.0,1999,7,162091208
Annie,Comedy,65000000,119.0,2014,12,133821816
Focus,Romance,50100000,105.0,2015,2,153962963
This Means War,Action,65000000,103.0,2012,2,156974557
Blade: Trinity,Science Fiction,65000000,123.0,2004,12,128905366
Red Dawn,Action,4200000,114.0,1984,8,38376497
Primary Colors,Comedy,65000000,143.0,1998,3,0
Resident Evil: Retribution,Action,65000000,95.0,2012,9,240159255
Death Race,Action,45000000,105.0,2008,8,73762516
The Long Kiss Goodnight,Crime,65000000,120.0,1996,10,89456761
Proof of Life,Action,65000000,135.0,2000,12,0
Zathura: A Space Adventure,,65000000,101.0,2005,11,64321501
Fight Club,Drama,63000000,139.0,1999,10,100853753
We Are Marshall,Drama,65000000,124.0,2006,12,43545364
Hudson Hawk,Action,65000000,100.0,1991,5,17218080
Lucky Numbers,Action,65000000,105.0,2000,10,0
"I, Frankenstein",Horror,65000000,92.0,2014,1,71154592
Oliver Twist,Crime,50000000,130.0,2005,9,42093706
Elektra,Action,43000000,97.0,2005,1,56681566
Sin City: A Dame to Kill For,Crime,65000000,102.0,2014,8,39407616
Random Hearts,Drama,64000000,133.0,1999,10,74608570
Everest,Adventure,55000000,121.0,2015,9,203427584
Perfume: The Story of a Murderer,Crime,50000000,147.0,2006,9,132180323
Austin Powers in Goldmember,Comedy,63000000,94.0,2002,7,296655431
Astro Boy,Animation,65000000,94.0,2009,10,44091067
Jurassic Park,Adventure,63000000,127.0,1993,6,920100000
Wyatt Earp,Drama,63000000,191.0,1994,6,25052000
Clear and Present Danger,Action,62000000,141.0,1994,8,215887717
Dragon Blade,Action,65000000,127.0,2015,2,121545703
Little Man,Comedy,64000000,98.0,2006,8,101595121
U-571,Action,62000000,116.0,2000,4,127666415
The American President,Comedy,62000000,106.0,1995,11,107879496
The Love Guru,Comedy,62000000,87.0,2008,6,41819064
3000 Miles to Graceland,Action,62000000,125.0,2001,2,18720175
The Hateful Eight,Crime,44000000,167.0,2015,12,155760117
Blades of Glory,Action,53000000,93.0,2007,3,0
Hop,Animation,63000000,95.0,2011,3,183953723
300,Action,65000000,117.0,2006,12,422610419
Meet the Fockers,Comedy,80000000,115.0,2004,12,516642939
Marley & Me,Comedy,60000000,115.0,2008,12,244082376
The Green Mile,Fantasy,60000000,189.0,1999,12,284600000
Wild Hogs,Action,0,100.0,2007,3,253625427
Chicken Little,Animation,150000000,81.0,2005,11,314432665
Gone Girl,,61000000,145.0,2014,10,369330363
The Bourne Identity,Action,60000000,119.0,2002,6,214034224
GoldenEye,Adventure,58000000,130.0,1995,11,352194034
The General's Daughter,Crime,60000000,116.0,1999,6,149705852
The Truman Show,Comedy,60000000,103.0,1998,6,264118201
The Prince of Egypt,Adventure,70000000,99.0,1998,12,218613188
Daddy Day Care,Comedy,60000000,92.0,2003,5,164433867
2 Guns,Action,61000000,109.0,2013,8,131940411
Cats & Dogs,Comedy,60000000,87.0,2001,7,93375151
The Italian Job,Action,60000000,110.0,2003,5,176070171
Two Weeks Notice,Romance,60000000,101.0,2002,12,93354918
Antz,Adventure,60000000,83.0,1998,10,171757863
Couples Retreat,Comedy,70000000,113.0,2009,9,171844840
Days of Thunder,Adventure,60000000,107.0,1990,6,157920733
Cheaper by the Dozen 2,Comedy,60000000,94.0,2005,12,129181830
Maze Runner: The Scorch Trials,Action,61000000,132.0,2015,9,311256926
Eat Pray Love,Drama,60000000,133.0,2010,8,204594016
The Family Man,Comedy,60000000,125.0,2000,12,0
RED,Action,58000000,111.0,2010,10,71664962
Any Given Sunday,Drama,55000000,163.0,1999,12,100230832
The Horse Whisperer,Drama,60000000,170.0,1998,5,186883563
Collateral,Drama,65000000,120.0,2004,8,217764291
The Scorpion King,Action,60000000,92.0,2002,4,165333180
Ladder 49,Drama,60000000,115.0,2004,10,74541707
Jack Reacher,Crime,60000000,130.0,2012,12,218340595
Deep Blue Sea,Action,60000000,105.0,1999,7,73648228
This Is It,,60000000,111.0,2009,10,0
Contagion,Drama,60000000,106.0,2011,9,137551594
Kangaroo Jack,Comedy,0,89.0,2003,1,0
Coraline,Animation,60000000,100.0,2009,2,124596398
The Happening,Thriller,60000000,91.0,2008,6,163403799
Man on Fire,Action,70000000,146.0,2004,4,130293714
The Shaggy Dog,Comedy,50000000,98.0,2006,3,61112916
Starsky & Hutch,Comedy,60000000,101.0,2004,3,170268750
Jingle All the Way,,60000000,89.0,1996,11,129832389
Hellboy,Fantasy,66000000,122.0,2004,4,99318987
A Civil Action,Drama,70000000,115.0,1998,3,56702901
ParaNorman,,60000000,90.0,2012,8,107139399
The Jackal,Action,60000000,124.0,1997,11,159330280
Paycheck,Action,60000000,119.0,2003,12,96269812
Up Close & Personal,Drama,60000000,119.0,1996,3,0
The Tale of Despereaux,Adventure,60000000,93.0,2008,12,50877145
The Tuxedo,Thriller,0,98.0,2002,9,0
Under Siege 2: Dark Territory,Action,60000000,100.0,1995,7,104324083
Jack Ryan: Shadow Recruit,Action,60000000,105.0,2014,1,50549107
Joy,Drama,60000000,124.0,2015,12,101134059
London Has Fallen,Action,60000000,99.0,2016,3,205754447
Alien: Resurrection,Science Fiction,70000000,109.0,1997,11,162000000
Shooter,Action,61000000,124.0,2007,3,95696996
The Boxtrolls,Animation,60000000,97.0,2014,9,108255770
Practical Magic,Drama,75000000,104.0,1998,10,46683377
The Lego Movie,Adventure,60000000,100.0,2014,2,469160692
Miss Congeniality 2: Armed and Fabulous,Action,0,115.0,2005,3,0
Reign of Fire,Adventure,60000000,101.0,2002,7,43061982
Gangster Squad,Crime,60000000,113.0,2013,1,105200903
Year One,Comedy,60000000,97.0,2009,6,62357900
Invictus,Drama,60000000,134.0,2009,12,122233971
State of Play,Action,60000000,127.0,2009,4,87784194
Duplicity,Romance,78146652,125.0,2009,3,60000000
My Favorite Martian,Comedy,65000000,94.0,1999,2,36850101
The Sentinel,Action,60000000,108.0,2006,4,77920346
Planet 51,Science Fiction,70000000,91.0,2009,11,104945765
Star Trek: Nemesis,Science Fiction,60000000,117.0,2002,12,67312826
Intolerable Cruelty,Crime,60000000,100.0,2003,9,119940815
Trouble with the Curve,Drama,0,111.0,2012,9,0
Edge of Darkness,Crime,80000000,117.0,2010,1,74901339
The Relic,Horror,60000000,110.0,1997,1,33956608
Analyze That,Comedy,60000000,96.0,2002,12,55003135
Righteous Kill,Action,60000000,101.0,2008,9,73174566
Mercury Rising,Action,60000000,111.0,1998,4,0
The Soloist,Drama,60000000,109.0,2009,4,31720158
The Legend of Bagger Vance,Fantasy,80000000,126.0,2000,11,39459427
Almost Famous,Drama,60000000,122.0,2000,9,47383689
Garfield: A Tail of Two Kitties,Animation,0,78.0,2006,6,141702264
xXx: State of the Union,Action,60000000,101.0,2005,4,71073932
Priest,Action,60000000,87.0,2011,5,78309131
Sinbad: Legend of the Seven Seas,,60000000,86.0,2003,7,26288320
Event Horizon,Horror,60000000,96.0,1997,8,26673242
Dragonfly,Drama,60000000,104.0,2002,2,52322400
The Black Dahlia,Drama,50000000,121.0,2006,9,49111202
Flyboys,Action,60000000,140.0,2006,9,17800000
The Last Castle,Action,72000000,131.0,2001,10,27642707
Supernova,Horror,90000000,91.0,2000,1,14828081
Winter's Tale,Drama,60000000,118.0,2014,2,30800231
The Mortal Instruments: City of Bones,Action,60000000,130.0,2013,8,90565421
Meet Dave,Comedy,60000000,90.0,2008,7,50650079
Dark Water,Drama,30000000,105.0,2005,6,25473093
Edtv,Comedy,80000000,122.0,1999,3,0
Inkheart,Adventure,60000000,106.0,2008,12,57490374
The Spirit,Action,60000000,103.0,2008,12,39031337
Mortdecai,Comedy,60000000,106.0,2015,1,30418560
In the Name of the King: A Dungeon Siege Tale,Adventure,60000000,127.0,2007,11,0
Beyond Borders,Drama,35000000,127.0,2003,10,0
The Monkey King 2,Action,68490000,120.0,2016,1,193677158
The Great Raid,Action,80000000,132.0,2005,8,10166502
Deadpool,Action,58000000,108.0,2016,2,783112979
Holy Man,Drama,60000000,114.0,1998,10,0
American Sniper,,58800000,133.0,2014,12,542307423
Goosebumps,Adventure,58000000,103.0,2015,8,158162788
Just Like Heaven,Comedy,58000000,95.0,2005,9,102854431
The Flintstones in Viva Rock Vegas,Science Fiction,83000000,90.0,2000,4,59468275
Rambo III,Action,63000000,102.0,1988,5,189015611
Leatherheads,Comedy,58000000,114.0,2008,3,41299492
The Ridiculous 6,Comedy,60000000,119.0,2015,12,0
Did You Hear About the Morgans?,Comedy,58000000,103.0,2009,12,85280250
The Internship,Comedy,58000000,119.0,2013,6,44000000
Resident Evil: Afterlife,Action,60000000,97.0,2010,9,300228084
Red Tails,Drama,58000000,125.0,2012,1,50365377
The Devil's Advocate,Drama,57000000,144.0,1997,10,152944660
That's My Boy,Comedy,70000000,116.0,2012,6,58058367
DragonHeart,Fantasy,57000000,103.0,1996,5,115267375
After the Sunset,Action,60000000,97.0,2004,11,61347797
Ghost Rider: Spirit of Vengeance,Action,57000000,95.0,2011,12,149217355
Captain Corelli's Mandolin,Drama,57000000,131.0,2001,8,62112895
The Pacifier,Action,56000000,95.0,2005,3,113006880
Walking Tall,Adventure,56000000,86.0,2004,4,57223890
Forrest Gump,Comedy,55000000,142.0,1994,7,677945399
Alvin and the Chipmunks,Comedy,60000000,92.0,2007,12,361366633
Meet the Parents,Comedy,55000000,108.0,2000,10,330444045
Pocahontas,Adventure,55000000,81.0,1995,6,346079773
Superman,Action,55000000,143.0,1978,12,300218018
The Nutty Professor,Fantasy,54000000,95.0,1996,6,128769345
Hitch,Comedy,70000000,118.0,2005,2,368100420
George of the Jungle,Adventure,55000000,92.0,1997,7,0
American Wedding,Comedy,55000000,103.0,2003,8,231449203
Captain Phillips,Action,55000000,134.0,2013,10,95000000
Date Night,Comedy,55000000,97.0,2010,4,152263880
Casper,Fantasy,50000000,100.0,1995,5,287928194
The Equalizer,Thriller,55000000,132.0,2014,9,192330738
Maid in Manhattan,Comedy,55000000,105.0,2002,12,154906693
Crimson Tide,Action,53000000,116.0,1995,5,157387195
The Pursuit of Happyness,Drama,55000000,117.0,2006,12,307077295
Flightplan,Thriller,55000000,98.0,2005,9,223387299
Disclosure,Drama,55000000,123.0,1994,12,214015089
City of Angels,Drama,55000000,114.0,1998,4,198685114
Kill Bill: Vol. 1,Action,30000000,111.0,2003,10,180949000
Bowfinger,Comedy,55000000,97.0,1999,8,0
Kill Bill: Vol. 2,Action,30000000,136.0,2004,4,152159461
Tango & Cash,Action,55000000,104.0,1989,12,63408614
Death Becomes Her,Fantasy,55000000,104.0,1992,7,149022650
Shanghai Noon,Adventure,55000000,110.0,2000,5,56932305
Executive Decision,Action,55000000,133.0,1996,3,121969216
Mr. Popper's Penguins,Comedy,55000000,94.0,2011,6,187361754
The Forbidden Kingdom,Action,55000000,104.0,2008,4,127906624
Free Birds,Animation,55000000,91.0,2013,10,110000000
Alien³,Science Fiction,50000000,114.0,1992,5,159773545
Evita,,55000000,134.0,1996,12,141047179
Ronin,Action,55000000,122.0,1998,9,41610884
The Ghost and the Darkness,Adventure,50000000,109.0,1996,10,75000000
Paddington,,55000000,95.0,2014,11,259207227
The Watch,Comedy,68000000,98.0,2012,7,68267862
The Hunted,Drama,55000000,94.0,2003,3,34234008
Instinct,Drama,80000000,126.0,1999,6,0
Stuck on You,Comedy,55000000,118.0,2003,12,33828318
Semi-Pro,Comedy,0,91.0,2008,2,33472850
The Pirates! In an Adventure with Scientists!,Animation,60000000,88.0,2012,3,118338361
Changeling,Crime,55000000,141.0,2008,1,113020255
Chain Reaction,Action,50000000,107.0,1996,8,60209334
The Fan,Drama,55000000,116.0,1996,8,18626419
The Phantom of the Opera,Thriller,70000000,143.0,2004,12,154648887
Elizabeth: The Golden Age,Drama,55000000,114.0,2007,9,74237563
Æon Flux,Action,62000000,93.0,2005,11,52304001
Gods and Generals,Drama,56000000,214.0,2003,2,12923936
Turbulence,Action,55000000,100.0,1997,1,11466088
Imagine That,Comedy,55000000,107.0,2009,6,0
Muppets Most Wanted,Comedy,50000000,112.0,2014,3,80383290
Thunderbirds,Action,57000000,95.0,2004,7,28283637
Burlesque,Drama,55000000,119.0,2010,11,89519773
A Very Long Engagement,Drama,47000000,133.0,2004,10,0
Lolita,Drama,2000000,153.0,1962,6,9250000
D-Tox,Action,55000000,96.0,2002,1,6416302
Blade II,Fantasy,54000000,117.0,2002,3,155010032
Seven Pounds,Drama,55000000,123.0,2008,12,168167691
Bullet to the Head,Action,55000000,92.0,2013,1,9489829
The Godfather: Part III,Crime,54000000,162.0,1990,12,136766062
Elizabethtown,Comedy,57000000,123.0,2005,10,52034889
"You, Me and Dupree",Comedy,54000000,108.0,2006,7,130431368
Superman II,Action,54000000,127.0,1980,12,190458706
Gigli,Drama,54000000,121.0,2003,8,7266209
All the King's Men,Drama,55000000,125.0,2006,9,9450897
Shaft,Action,46000000,99.0,2000,6,107196498
Anastasia,Animation,53000000,94.0,1997,11,139804348
Moulin Rouge!,Drama,52500000,127.0,2001,3,179213434
Domestic Disturbance,,75000000,89.0,2001,10,54249294
Black Mass,Crime,53000000,122.0,2015,9,98837872
Flags of Our Fathers,,90000000,132.0,2006,10,65900249
Law Abiding Citizen,Drama,53000000,109.0,2009,10,126690726
Grindhouse,Thriller,67000000,191.0,2007,4,25037897
Beloved,Drama,0,172.0,1998,10,0
Lucky You,Drama,0,124.0,2007,5,5761917
Catch Me If You Can,Drama,52000000,141.0,2002,12,352114312
Zero Dark Thirty,Thriller,40000000,157.0,2012,12,132820716
The Break-Up,Romance,52000000,106.0,2006,6,204999686
Mamma Mia!,Comedy,52000000,108.0,2008,7,609841637
Valentine's Day,Comedy,52000000,125.0,2010,2,216485654
The Dukes of Hazzard,Action,50000000,104.0,2005,8,110803676
The Thin Red Line,Drama,52000000,170.0,1998,12,98126565
The Change-Up,Comedy,52000000,112.0,2011,8,75450437
Man on the Moon,Comedy,82000000,118.0,1999,12,47434430
Casino,Drama,52000000,178.0,1995,11,116112375
From Paris with Love,Action,52000000,92.0,2010,2,52826594
Bulletproof Monk,Action,52000000,104.0,2003,3,0
"Me, Myself & Irene",Comedy,51000000,116.0,2000,6,149270999
Barnyard,Animation,51000000,90.0,2006,8,72779000
Deck the Halls,Comedy,0,93.0,2006,11,47231070
The Twilight Saga: New Moon,Adventure,50000000,130.0,2009,3,709827462
Shrek,Adventure,60000000,90.0,2001,5,484409218
The Adjustment Bureau,Science Fiction,50200000,106.0,2011,3,127869379
Robin Hood: Prince of Thieves,Adventure,48000000,143.0,1991,6,390493908
Jerry Maguire,Comedy,50000000,139.0,1996,12,273552592
Ted,Comedy,50000000,106.0,2012,6,549368315
As Good as It Gets,Comedy,50000000,139.0,1997,12,314178011
Patch Adams,Comedy,50000000,115.0,1998,12,202292902
Anchorman 2: The Legend Continues,Comedy,50000000,119.0,2013,12,173649015
Mr. Deeds,Comedy,50000000,96.0,2002,6,171269535
Super 8,Thriller,50000000,112.0,2011,6,260095987
Erin Brockovich,Drama,52000000,131.0,2000,3,256271286
How to Lose a Guy in 10 Days,Comedy,50000000,116.0,2003,2,177371441
22 Jump Street,Crime,50000000,112.0,2014,6,188441614
Interview with the Vampire,Horror,60000000,123.0,1994,11,223664608
Yes Man,Comedy,70000000,104.0,2008,12,225990978
Central Intelligence,Action,50000000,107.0,2016,6,216972543
Stepmom,Drama,0,124.0,1998,12,0
Daddy's Home,Comedy,50000000,96.0,2015,12,242786137
Into the Woods,Fantasy,50000000,125.0,2014,12,212902372
Inside Man,Crime,45000000,129.0,2006,3,184376254
Payback,Drama,90000000,100.0,1999,2,161626121
Congo,Action,50000000,109.0,1995,6,152022101
We Bought a Zoo,Drama,50000000,124.0,2011,12,120081841
Knowing,Action,50000000,121.0,2009,3,155446362
Failure to Launch,Comedy,50000000,97.0,2006,3,88715192
The Ring Two,Drama,50000000,110.0,2005,3,161451538
"Crazy, Stupid, Love.",Comedy,50000000,118.0,2011,7,142851197
Garfield,Animation,50000000,80.0,2004,6,200804534
Christmas with the Kranks,Comedy,60000000,99.0,2004,11,0
Moneyball,Drama,50000000,133.0,2011,9,110206216
Outbreak,Action,50000000,127.0,1995,3,189859560
Non-Stop,Action,50000000,106.0,2014,1,222809600
Race to Witch Mountain,Adventure,50000000,98.0,2009,3,106303988
V for Vendetta,Action,54000000,132.0,2006,3,132511035
