InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538660,22697,GREEN REGENCY TEACUP AND SAUCER,1,12/13/2010 15:37,2.95,15808.0,United Kingdom
566913,22296,HEART IVORY TRELLIS LARGE,5,9/15/2011 14:07,1.65,17602.0,United Kingdom
567793,22710,WRAP I LOVE LONDON ,25,9/22/2011 11:40,0.42,12657.0,France
557804,23321,SMALL WHITE HEART OF WICKER,12,6/23/2011 10:24,1.65,18198.0,United Kingdom
536804,79067,CORONA MEXICAN TRAY,17,12/2/2010 16:34,3.75,14031.0,United Kingdom
566717,21218,RED SPOTTY BISCUIT TIN,2,9/14/2011 12:14,3.75,17841.0,United Kingdom
565840,23205,CHARLOTTE BAG VINTAGE ALPHABET ,2,9/7/2011 12:02,1.63,,United Kingdom
570672,20704,MR ROBOT SOFT TOY,2,10/11/2011 14:52,6.95,12536.0,France
580188,23498,CLASSIC BICYCLE CLIPS ,4,12/2/2011 12:02,1.45,16440.0,United Kingdom
539492,84313B,BLUE TV TRAY TABLE ,1,12/20/2010 10:14,16.98,,United Kingdom
557858,23287,RED VINTAGE SPOT BEAKER,4,6/23/2011 11:51,0.85,14159.0,United Kingdom
575324,22572,ROCKING HORSE GREEN CHRISTMAS ,12,11/9/2011 13:45,0.85,14240.0,United Kingdom
553691,21733,RED HANGING HEART T-LIGHT HOLDER,1,5/18/2011 14:08,2.95,15311.0,United Kingdom
565232,85017B,ENVELOPE 50 BLOSSOM IMAGES,1,9/2/2011 9:30,0.83,,United Kingdom
547903,47599A,PINK PARTY BAGS,1,3/28/2011 11:59,2.1,15039.0,United Kingdom
571714,21802,CHRISTMAS TREE HEART DECORATION,6,10/18/2011 17:00,0.42,,United Kingdom
C575670,15044D,RED PAPER PARASOL,-1,11/10/2011 15:02,2.55,13081.0,United Kingdom
574909,22367,CHILDRENS APRON SPACEBOY DESIGN,2,11/7/2011 15:40,1.95,13673.0,United Kingdom
548974,47480,HANGING PHOTO CLIP ROPE LADDER,12,4/5/2011 11:47,1.65,15194.0,United Kingdom
544582,22620,4 TRADITIONAL SPINNING TOPS,12,2/21/2011 14:38,1.25,13410.0,United Kingdom
574328,22151,PLACE SETTING WHITE HEART,48,11/4/2011 9:05,0.42,13081.0,United Kingdom
568413,84949,SILVER HANGING T-LIGHT HOLDER,2,9/27/2011 11:01,1.65,14818.0,United Kingdom
567892,23170,REGENCY TEA PLATE ROSES ,12,9/22/2011 15:51,1.65,15394.0,United Kingdom
568190,85099F,JUMBO BAG STRAWBERRY,10,9/25/2011 14:36,2.08,16342.0,United Kingdom
569137,21116,OWL DOORSTOP,3,9/30/2011 14:45,8.29,,United Kingdom
568700,22847,BREAD BIN DINER STYLE IVORY,1,9/28/2011 15:02,16.95,16690.0,United Kingdom
538510,22733,3D TRADITIONAL CHRISTMAS STICKERS,1,12/12/2010 13:47,1.25,18004.0,United Kingdom
564841,23205,CHARLOTTE BAG VINTAGE ALPHABET ,4,8/30/2011 13:42,2.46,,United Kingdom
551125,90143,SILVER BRACELET W PASTEL FLOWER,4,4/26/2011 12:47,7.5,17277.0,United Kingdom
573990,22606,check,1,11/2/2011 11:18,0.0,,United Kingdom
548468,21812,GARLAND WITH HEARTS AND BELLS,2,3/31/2011 12:28,4.95,14818.0,United Kingdom
574909,21034,REX CASH+CARRY JUMBO SHOPPER,1,11/7/2011 15:40,0.95,13673.0,United Kingdom
573068,23541,WALL ART CLASSIC PUDDINGS ,1,10/27/2011 13:56,8.25,17545.0,United Kingdom
544096,22366,DOORMAT AIRMAIL ,4,2/16/2011 9:45,7.95,14386.0,United Kingdom
538651,35004C,SET OF 3 COLOURED  FLYING DUCKS,12,12/13/2010 15:07,4.65,15311.0,United Kingdom
548516,22413,METAL SIGN TAKE IT OR LEAVE IT ,2,3/31/2011 16:28,5.79,,United Kingdom
543300,84985A,SET OF 72 GREEN PAPER DOILIES,3,2/7/2011 11:42,1.45,13334.0,United Kingdom
566571,23349,ROLL WRAP VINTAGE CHRISTMAS,12,9/13/2011 12:49,1.25,17037.0,United Kingdom
539437,85040A,S/4 PINK FLOWER CANDLES IN BOWL,3,12/17/2010 14:54,3.36,,United Kingdom
571082,35967,FOLK ART METAL STAR T-LIGHT HOLDER,1,10/13/2011 15:25,0.83,,United Kingdom
572549,23013,GLASS APOTHECARY BOTTLE TONIC,1,10/24/2011 17:03,8.29,,United Kingdom
563733,21174,POTTERING IN THE SHED METAL SIGN,12,8/18/2011 17:57,2.08,18225.0,United Kingdom
564369,75049L,LARGE CIRCULAR MIRROR MOBILE,96,8/25/2011 9:39,0.85,15189.0,United Kingdom
543354,22286,"DECORATION , WOBBLY RABBIT , METAL ",12,2/7/2011 13:50,1.65,13458.0,United Kingdom
539750,22560,TRADITIONAL MODELLING CLAY,1,12/21/2010 15:40,3.36,,United Kingdom
570225,22952,60 CAKE CASES VINTAGE CHRISTMAS,3,10/9/2011 13:15,0.55,16595.0,United Kingdom
566171,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,9/9/2011 12:22,2.55,18118.0,United Kingdom
559693,21843,RED RETROSPOT CAKE STAND,1,7/11/2011 16:21,20.79,,United Kingdom
544772,21558,SKULL LUNCH BOX WITH CUTLERY ,1,2/23/2011 11:12,4.96,,United Kingdom
540255,20652,BLUE POLKADOT LUGGAGE TAG ,2,1/5/2011 16:50,0.85,,United Kingdom
566077,23129,HEART SHAPED HOLLY WREATH,4,9/9/2011 9:38,4.15,13441.0,United Kingdom
569524,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,1,10/4/2011 14:42,1.45,14506.0,United Kingdom
554113,22030,SWALLOWS GREETING CARD,12,5/22/2011 14:53,0.42,16700.0,United Kingdom
571779,22268,DECORATION SITTING BUNNY,3,10/19/2011 11:27,0.19,12748.0,United Kingdom
537823,21754,HOME BUILDING BLOCK WORD,1,12/8/2010 14:25,11.87,,United Kingdom
571696,23023,RIDGED BONNE JAM JAR T-LIGHT HOLDER,6,10/18/2011 14:47,1.65,15604.0,United Kingdom
559338,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,7/7/2011 16:30,3.29,,United Kingdom
564173,85014B,RED RETROSPOT UMBRELLA,3,8/23/2011 14:23,5.95,12567.0,France
549451,48138,DOORMAT UNION FLAG,2,4/8/2011 14:14,7.95,16556.0,United Kingdom
574903,21883,STARS GIFT TAPE ,12,11/7/2011 15:27,0.65,17302.0,United Kingdom
543800,20774,GREEN FERN NOTEBOOK,2,2/13/2011 11:36,1.65,17282.0,United Kingdom
560451,21231,SWEETHEART CERAMIC TRINKET BOX,12,7/19/2011 9:50,1.25,14911.0,EIRE
563685,22111,SCOTTIE DOG HOT WATER BOTTLE,3,8/18/2011 12:26,4.95,14911.0,EIRE
543055,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2/3/2011 10:41,2.55,12502.0,Spain
560261,23295,SET OF 12 MINI LOAF BAKING CASES,5,7/17/2011 13:35,0.83,12841.0,United Kingdom
578688,21497,FANCY FONTS BIRTHDAY WRAP,25,11/25/2011 9:27,0.42,16719.0,United Kingdom
548234,22382,LUNCH BAG SPACEBOY DESIGN ,20,3/30/2011 10:32,1.65,17594.0,United Kingdom
580673,23300,GARDENERS KNEELING PAD CUP OF TEA ,24,12/5/2011 14:30,1.65,13089.0,United Kingdom
540464,82582,AREA PATROLLED METAL SIGN,12,1/7/2011 13:17,1.69,14298.0,United Kingdom
567179,22766,PHOTO FRAME CORNICE,4,9/18/2011 14:27,2.95,15547.0,United Kingdom
539404,22723,SET OF 6 HERB TINS SKETCHBOOK,2,12/17/2010 12:24,3.95,17315.0,United Kingdom
558552,23202,JUMBO BAG VINTAGE LEAF,100,6/30/2011 12:42,1.75,13694.0,United Kingdom
541406,22808,SET OF 6 T-LIGHTS EASTER CHICKS,6,1/17/2011 15:19,2.95,14657.0,United Kingdom
561584,22469,HEART OF WICKER SMALL,12,7/28/2011 10:38,1.65,13534.0,United Kingdom
556579,20764,ABSTRACT CIRCLES SKETCHBOOK ,4,6/13/2011 14:16,3.75,15069.0,United Kingdom
564724,21876,POTTERING MUG,1,8/28/2011 12:16,1.25,15555.0,United Kingdom
559052,85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,4,7/5/2011 16:53,1.63,,United Kingdom
546891,35915C,PEACH KNITTED HEN ,8,3/17/2011 18:18,0.83,,United Kingdom
580717,22207,FRYING PAN UNION FLAG,8,12/5/2011 16:52,4.25,14608.0,United Kingdom
549732,23199,JUMBO BAG APPLES,10,4/11/2011 16:47,2.08,15615.0,United Kingdom
566053,23241,TREASURE TIN GYMKHANA DESIGN,2,9/8/2011 14:57,2.08,14410.0,United Kingdom
538116,20713,JUMBO BAG OWLS,20,12/9/2010 15:32,1.95,13327.0,United Kingdom
575875,22975,SPACEBOY CHILDRENS EGG CUP,1,11/11/2011 13:06,2.46,,United Kingdom
547062,85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,1,3/20/2011 13:28,1.65,16728.0,United Kingdom
552687,22429,ENAMEL MEASURING JUG CREAM,1,5/10/2011 15:09,8.29,,United Kingdom
C542138,51014L,"FEATHER PEN,LIGHT PINK",-72,1/25/2011 17:21,0.85,17368.0,United Kingdom
576864,22382,LUNCH BAG SPACEBOY DESIGN ,1,11/16/2011 16:06,1.65,12748.0,United Kingdom
559052,21328,BALLOONS  WRITING SET ,7,7/5/2011 16:53,0.83,,United Kingdom
578946,21901,"KEY FOB , BACK DOOR ",1,11/27/2011 13:47,0.65,16005.0,United Kingdom
577316,22750,FELTCRAFT PRINCESS LOLA DOLL,8,11/18/2011 13:30,3.75,12578.0,Italy
558046,48187,DOORMAT NEW ENGLAND,2,6/24/2011 13:47,7.95,,EIRE
546246,22061,LARGE CAKE STAND  HANGING STRAWBERY,4,3/10/2011 13:28,9.95,14841.0,United Kingdom
568059,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,2,9/23/2011 12:58,1.45,13097.0,United Kingdom
547250,23193,BUFFALO BILL TREASURE BOOK BOX,1,3/22/2011 9:30,4.58,,United Kingdom
565519,90013C,GREEN VINTAGE EARRINGS ,4,9/5/2011 11:52,3.75,12502.0,Spain
541006,22381,TOY TIDY PINK POLKADOT,5,1/13/2011 10:43,2.1,13993.0,United Kingdom
575512,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,11/10/2011 10:36,0.42,14121.0,United Kingdom
578250,22094,RED RETROSPOT TISSUE BOX,1,11/23/2011 12:43,0.39,15901.0,United Kingdom
562715,22466,FAIRY TALE COTTAGE NIGHTLIGHT,1,8/8/2011 15:34,4.13,,United Kingdom
550500,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,4/18/2011 15:26,2.95,,United Kingdom
581116,23344,JUMBO BAG 50'S CHRISTMAS ,1,12/7/2011 12:21,2.08,17232.0,United Kingdom
580730,22624,IVORY KITCHEN SCALES,1,12/5/2011 17:28,16.63,,United Kingdom
577365,23582,VINTAGE DOILY JUMBO BAG RED ,10,11/18/2011 16:19,2.08,17063.0,United Kingdom
568592,22725,ALARM CLOCK BAKELIKE CHOCOLATE,8,9/28/2011 10:42,3.75,17469.0,United Kingdom
541206,22029,SPACEBOY BIRTHDAY CARD,144,1/14/2011 12:24,0.36,14646.0,Netherlands
551775,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,6,5/4/2011 11:21,3.29,12886.0,United Kingdom
560250,84997D,CHILDRENS CUTLERY POLKADOT PINK,2,7/17/2011 12:31,4.15,14659.0,United Kingdom
547786,21063,PARTY INVITES JAZZ HEARTS,1,3/25/2011 11:44,0.85,14587.0,United Kingdom
C570867,23255,CHILDRENS CUTLERY CIRCUS PARADE,-4,10/12/2011 16:17,4.15,12607.0,USA
539436,22283,6 EGG HOUSE PAINTED WOOD,1,12/17/2010 14:49,16.13,,United Kingdom
579196,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,1,11/28/2011 15:54,1.25,14096.0,United Kingdom
571931,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,1,10/19/2011 16:59,0.83,,United Kingdom
581193,23371,SET 36 COLOUR PENCILS SPACEBOY ,1,12/7/2011 17:05,1.25,17097.0,Spain
566985,22422,TOOTHPASTE TUBE PEN,1,9/16/2011 10:42,1.25,,United Kingdom
580399,22417,PACK OF 60 SPACEBOY CAKE CASES,24,12/4/2011 11:45,0.55,13471.0,United Kingdom
552830,23081,GREEN METAL BOX TOP SECRET,10,5/11/2011 13:49,8.25,15187.0,United Kingdom
560250,22427,ENAMEL FLOWER JUG CREAM,1,7/17/2011 12:31,5.95,14659.0,United Kingdom
554663,79191C,RETRO PLASTIC ELEPHANT TRAY,1,5/25/2011 14:29,0.85,14985.0,United Kingdom
571328,22080,RIBBON REEL POLKADOTS ,10,10/17/2011 11:27,1.65,12473.0,Germany
552520,22183,CAKE STAND VICTORIAN FILIGREE MED,1,5/9/2011 16:34,5.79,,United Kingdom
566163,23206,LUNCH BAG APPLE DESIGN,10,9/9/2011 11:48,1.65,12637.0,France
564191,23172,REGENCY TEA PLATE PINK,8,8/23/2011 16:16,1.65,17315.0,United Kingdom
563543,22470,HEART OF WICKER LARGE,8,8/17/2011 12:06,2.95,15039.0,United Kingdom
552042,22066,LOVE HEART TRINKET POT,48,5/6/2011 9:00,0.39,13952.0,United Kingdom
559693,20772,GARDEN PATH JOURNAL,1,7/11/2011 16:21,2.46,,United Kingdom
557308,21135,VICTORIAN  METAL POSTCARD SPRING,2,6/19/2011 15:13,1.69,16744.0,United Kingdom
543044,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2/3/2011 8:18,7.95,17071.0,United Kingdom
573153,23209,LUNCH BAG VINTAGE DOILY ,80,10/28/2011 7:39,1.65,12678.0,France
557322,21871,SAVE THE PLANET MUG,36,6/20/2011 9:04,1.25,17444.0,Canada
576236,22781,GUMBALL MAGAZINE RACK,1,11/14/2011 13:31,7.65,13755.0,United Kingdom
559004,85099B,JUMBO BAG RED RETROSPOT,10,7/5/2011 12:23,2.08,12428.0,Finland
540995,85094,CANDY SPOT EGG WARMER RABBIT,1,1/13/2011 9:30,0.83,,United Kingdom
541497,84596G,SMALL CHOCOLATES PINK BOWL,3,1/18/2011 15:19,0.83,,United Kingdom
542614,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,1/30/2011 14:37,2.95,15708.0,United Kingdom
562843,22993,SET OF 4 PANTRY JELLY MOULDS,2,8/9/2011 17:37,2.46,,United Kingdom
544480,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,48,2/21/2011 10:32,2.55,14646.0,Netherlands
579183,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,11/28/2011 15:16,2.55,15621.0,United Kingdom
560026,23032,DRAWER KNOB CRACKLE GLAZE IVORY,1,7/14/2011 13:11,1.65,16928.0,United Kingdom
538071,21914,BLUE HARMONICA IN BOX ,3,12/9/2010 14:09,2.51,,United Kingdom
577985,21537,RED RETROSPOT PUDDING BOWL,4,11/22/2011 12:25,4.25,15116.0,United Kingdom
570467,23351,ROLL WRAP 50'S CHRISTMAS,12,10/10/2011 16:06,1.25,12607.0,USA
543096,22384,LUNCH BAG PINK POLKADOT,1,2/3/2011 11:39,1.65,14044.0,United Kingdom
550518,20719,WOODLAND CHARLOTTE BAG,10,4/19/2011 8:55,0.85,16628.0,United Kingdom
554351,22090,PAPER BUNTING RETROSPOT,40,5/24/2011 8:53,2.55,15132.0,United Kingdom
563444,22691,DOORMAT WELCOME SUNRISE,6,8/16/2011 13:50,7.95,16033.0,United Kingdom
573280,79302M,"ART LIGHTS,FUNK MONKEY",6,10/28/2011 13:42,2.95,14221.0,United Kingdom
557131,47566,PARTY BUNTING,12,6/17/2011 8:52,4.95,13456.0,United Kingdom
572065,23176,ABC TREASURE BOOK BOX ,1,10/20/2011 13:06,2.25,12556.0,Spain
548663,22381,TOY TIDY PINK POLKADOT,1,4/1/2011 14:44,4.96,,United Kingdom
573556,22192,BLUE DINER WALL CLOCK,2,10/31/2011 13:51,8.5,17675.0,United Kingdom
578344,22798,ANTIQUE GLASS DRESSING TABLE POT,1,11/24/2011 9:21,5.79,,United Kingdom
569488,21494,ROTATING LEAVES T-LIGHT HOLDER,3,10/4/2011 13:10,1.25,16440.0,United Kingdom
578541,22847,BREAD BIN DINER STYLE IVORY,2,11/24/2011 15:01,16.95,14277.0,France
538211,22834,HAND WARMER BABUSHKA DESIGN,12,12/10/2010 11:47,2.1,17690.0,United Kingdom
566603,21775,DECORATIVE FLORE BATHROOM BOTTLE,4,9/13/2011 16:12,2.46,,United Kingdom
578936,22699,ROSES REGENCY TEACUP AND SAUCER ,4,11/27/2011 13:00,2.95,16923.0,United Kingdom
565324,22950,36 DOILIES VINTAGE CHRISTMAS,2,9/2/2011 13:18,1.45,13232.0,United Kingdom
571258,20972,PINK CREAM FELT CRAFT TRINKET BOX ,2,10/14/2011 17:23,1.25,17837.0,United Kingdom
555566,21714,CITRONELLA CANDLE GARDEN POT,6,6/5/2011 15:19,1.25,14659.0,United Kingdom
562157,21654,RIDGED GLASS FINGER BOWL,6,8/3/2011 11:44,0.39,16012.0,United Kingdom
569254,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,2,10/3/2011 11:00,0.42,18116.0,United Kingdom
559337,21677,HEARTS  STICKERS,1,7/7/2011 16:27,1.63,,United Kingdom
568721,21986,PACK OF 12 PINK POLKADOT TISSUES,1,9/28/2011 16:24,0.83,,United Kingdom
538524,22759,SET OF 3 NOTEBOOKS IN PARCEL,2,12/13/2010 9:35,3.36,,United Kingdom
573777,22555,PLASTERS IN TIN STRONGMAN,12,11/1/2011 10:49,1.65,13726.0,United Kingdom
576837,90205C,LARGE CRYSTAL DIAMANTE HAIRSLIDE,1,11/16/2011 15:16,1.65,,United Kingdom
562893,20665,RED RETROSPOT PURSE ,6,8/10/2011 12:25,2.95,17442.0,United Kingdom
548894,21039,RED RETROSPOT SHOPPING BAG,1,4/4/2011 16:01,5.79,,United Kingdom
540646,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1/10/2011 14:32,1.66,,United Kingdom
552291,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,5/8/2011 14:00,0.65,15421.0,United Kingdom
580973,23313,VINTAGE CHRISTMAS BUNTING,5,12/6/2011 15:12,4.95,12820.0,United Kingdom
573248,22694,WICKER STAR ,2,10/28/2011 12:09,2.1,14498.0,United Kingdom
538071,22553,PLASTERS IN TIN SKULLS,2,12/9/2010 14:09,3.36,,United Kingdom
537781,21896,POTTING SHED TWINE,1,12/8/2010 12:46,2.1,17341.0,United Kingdom
551351,22296,HEART IVORY TRELLIS LARGE,24,4/28/2011 10:20,1.45,14298.0,United Kingdom
575076,23108,SET OF 10 LED DOLLY LIGHTS,2,11/8/2011 13:20,6.25,16639.0,United Kingdom
559338,21429,RED GINGHAM ROSE JEWELLERY BOX,1,7/7/2011 16:30,4.13,,United Kingdom
555150,23175,REGENCY MILK JUG PINK ,1,5/31/2011 15:53,7.46,,United Kingdom
540968,84199,GLOW IN DARK DOLPHINS,9,1/12/2011 13:40,0.21,17338.0,United Kingdom
542607,35961,FOLKART ZINC HEART CHRISTMAS DEC,1,1/30/2011 13:48,0.85,13148.0,United Kingdom
536528,21731,RED TOADSTOOL LED NIGHT LIGHT,2,12/1/2010 13:17,1.65,15525.0,United Kingdom
543387,22966,GINGERBREAD MAN COOKIE CUTTER,24,2/8/2011 9:41,1.25,14646.0,Netherlands
578996,M,Manual,1,11/27/2011 16:02,1.0,13991.0,United Kingdom
570116,20977,36 PENCILS TUBE WOODLAND,3,10/7/2011 12:38,1.25,12856.0,United Kingdom
574624,23530,WALL ART ONLY ONE PERSON ,6,11/6/2011 11:20,4.95,17769.0,United Kingdom
540387,22525,CHILDRENS GARDEN GLOVES PINK,10,1/6/2011 17:58,1.25,16306.0,United Kingdom
548257,85099B,JUMBO BAG RED RETROSPOT,200,3/30/2011 10:54,1.65,13802.0,United Kingdom
580635,23461,SWEETHEART BIRD HOUSE,1,12/5/2011 12:30,4.15,14649.0,United Kingdom
578947,21810,CHRISTMAS HANGING STAR WITH BELL,48,11/27/2011 13:49,0.39,14547.0,United Kingdom
550631,82600,NO SINGING METAL SIGN,12,4/19/2011 14:51,2.1,15225.0,United Kingdom
569202,22539,MINI JIGSAW DOLLY GIRL,2,9/30/2011 17:22,0.83,,United Kingdom
C543353,22384,LUNCH BAG PINK POLKADOT,-1,2/7/2011 13:41,1.65,16033.0,United Kingdom
543345,21801,CHRISTMAS TREE DECORATION WITH BELL,1,2/7/2011 12:29,0.42,,United Kingdom
537374,85049A,TRADITIONAL CHRISTMAS RIBBONS,3,12/6/2010 12:55,1.25,17259.0,United Kingdom
568082,23330,DECORATIVE WICKER HEART MEDIUM,48,9/23/2011 14:38,1.25,14944.0,United Kingdom
572561,21485,RETROSPOT HEART HOT WATER BOTTLE,3,10/25/2011 8:51,4.95,13652.0,United Kingdom
549845,22900, SET 2 TEA TOWELS I LOVE LONDON ,9,4/12/2011 14:22,3.25,16729.0,United Kingdom
539211,85152,HAND OVER THE CHOCOLATE   SIGN ,12,12/16/2010 12:15,2.1,16743.0,United Kingdom
C548723,82482,WOODEN PICTURE FRAME WHITE FINISH,-1,4/4/2011 9:02,2.55,15874.0,United Kingdom
560931,20749,ASSORTED COLOUR MINI CASES,12,7/22/2011 10:25,6.35,16365.0,United Kingdom
539957,22777,GLASS CLOCHE LARGE,12,12/23/2010 12:58,7.65,12585.0,Germany
562341,23121,PACK OF 6 COCKTAIL PARASOL STRAWS,4,8/4/2011 12:13,0.42,15005.0,United Kingdom
571705,22138,BAKING SET 9 PIECE RETROSPOT ,3,10/18/2011 15:22,4.95,12360.0,Austria
574326,23351,ROLL WRAP 50'S CHRISTMAS,12,11/4/2011 8:29,1.25,14913.0,United Kingdom
575739,23535,WALL ART BICYCLE SAFETY,2,11/11/2011 9:05,12.46,,United Kingdom
556828,22971,QUEENS GUARD COFFEE MUG,3,6/15/2011 10:39,2.55,17284.0,United Kingdom
541696,21846,PINK DIAMANTE PEN IN GIFT BOX,6,1/20/2011 18:08,1.63,,United Kingdom
543040,16236,KITTY PENCIL ERASERS,4,2/2/2011 17:06,0.21,17337.0,United Kingdom
562024,23296,SET OF 6 TEA TIME BAKING CASES,1,8/1/2011 16:07,3.29,,United Kingdom
557786,23054,RECYCLED ACAPULCO MAT LAVENDER,1,6/22/2011 16:01,8.25,15550.0,United Kingdom
572550,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,3,10/24/2011 17:06,5.79,,United Kingdom
546365,21058,PARTY INVITES WOODLAND,12,3/11/2011 11:35,0.85,12520.0,Germany
536522,22151,PLACE SETTING WHITE HEART,1,12/1/2010 12:49,0.42,15012.0,United Kingdom
570818,22113,GREY HEART HOT WATER BOTTLE,1,10/12/2011 12:47,4.25,17841.0,United Kingdom
548612,21671,RED SPOT CERAMIC DRAWER KNOB,8,4/1/2011 11:34,1.25,13137.0,United Kingdom
566073,22625,RED KITCHEN SCALES,2,9/8/2011 19:58,8.5,14562.0,United Kingdom
547083,21068,VINTAGE BILLBOARD LOVE/HATE MUG,4,3/20/2011 15:21,1.25,15452.0,United Kingdom
550163,21749,LARGE RED RETROSPOT WINDMILL,6,4/14/2011 16:26,2.1,14154.0,United Kingdom
545815,22249,DECORATION WHITE CHICK MAGIC GARDEN,16,3/7/2011 12:26,0.85,14012.0,United Kingdom
564758,22662,LUNCH BAG DOLLY GIRL DESIGN,1,8/30/2011 10:39,4.13,,United Kingdom
544778,21155,RED RETROSPOT PEG BAG,2,2/23/2011 12:03,2.55,14978.0,United Kingdom
572913,22666,RECIPE BOX PANTRY YELLOW DESIGN,2,10/26/2011 16:21,2.95,15993.0,United Kingdom
573314,23300,GARDENERS KNEELING PAD CUP OF TEA ,10,10/28/2011 17:26,1.65,16987.0,United Kingdom
540538,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1,1/9/2011 14:36,3.75,17841.0,United Kingdom
567545,22568,FELTCRAFT CUSHION OWL,8,9/21/2011 10:27,3.75,13155.0,United Kingdom
547568,22424,ENAMEL BREAD BIN CREAM,8,3/24/2011 9:50,10.95,13341.0,United Kingdom
548191,21078,SET/20 STRAWBERRY PAPER NAPKINS ,3,3/29/2011 15:20,1.63,,United Kingdom
543740,21563,RED HEART SHAPE LOVE BUCKET ,2,2/11/2011 13:36,2.95,15311.0,United Kingdom
542105,22956,36 FOIL HEART CAKE CASES,6,1/25/2011 13:35,2.1,12854.0,United Kingdom
545062,84763,ZINC FINISH 15CM PLANTER POTS,2,2/27/2011 14:07,1.25,12748.0,United Kingdom
557150,23203,JUMBO BAG DOILEY PATTERNS,1,6/17/2011 11:02,2.08,15555.0,United Kingdom
581142,23439,HAND WARMER RED LOVE HEART,2,12/7/2011 13:38,2.1,14204.0,United Kingdom
565232,22784,LANTERN CREAM GAZEBO ,1,9/2/2011 9:30,10.79,,United Kingdom
537237,22380,TOY TIDY SPACEBOY  ,1,12/6/2010 9:58,4.21,,United Kingdom
553187,84991,60 TEATIME FAIRY CAKE CASES,10,5/15/2011 12:53,0.55,16809.0,United Kingdom
563572,23127,FELTCRAFT GIRL NICOLE KIT,1,8/17/2011 15:00,4.95,16734.0,United Kingdom
565919,20977,36 PENCILS TUBE WOODLAND,1,9/7/2011 16:48,2.46,,United Kingdom
570236,22424,ENAMEL BREAD BIN CREAM,1,10/9/2011 14:45,12.75,,United Kingdom
558536,22669,RED BABY BUNTING ,30,6/30/2011 12:06,2.95,12424.0,Australia
555515,22907,PACK OF 20 NAPKINS PANTRY DESIGN,8,6/5/2011 10:47,0.85,17690.0,United Kingdom
559902,35972,DAISY FOLKART HEART DECORATION,2,7/13/2011 13:14,1.25,14502.0,United Kingdom
553585,21519,GIN & TONIC DIET GREETING CARD ,12,5/18/2011 10:41,0.42,15301.0,United Kingdom
553389,23166,MEDIUM CERAMIC TOP STORAGE JAR,3,5/16/2011 16:37,2.46,,United Kingdom
541497,21027,NINJA RABBIT PINK,1,1/18/2011 15:19,0.83,,United Kingdom
546236,22523,CHILDS GARDEN FORK PINK,12,3/10/2011 12:48,0.85,12370.0,Cyprus
536796,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,12/2/2010 15:46,1.65,15574.0,United Kingdom
551174,21918,SET 12 KIDS COLOUR  CHALK STICKS,1,4/26/2011 17:02,0.83,,United Kingdom
576927,22629,SPACEBOY LUNCH BOX ,12,11/17/2011 11:02,1.95,12567.0,France
552703,82552,WASHROOM METAL SIGN,3,5/10/2011 16:00,1.45,14462.0,United Kingdom
572088,22695,WICKER WREATH SMALL,2,10/20/2011 14:33,1.45,14585.0,United Kingdom
580513,22703,PINK CAT BOWL,6,12/4/2011 13:59,0.59,14456.0,United Kingdom
573343,23489,VINTAGE BELLS GARLAND,5,10/30/2011 11:59,2.89,13566.0,United Kingdom
564091,21136,PAINTED METAL PEARS ASSORTED,8,8/23/2011 9:57,1.69,15804.0,United Kingdom
558475,16238,PARTY TIME PENCIL ERASERS,4,6/29/2011 15:58,0.42,,United Kingdom
540176,22970,LONDON BUS COFFEE MUG,36,1/5/2011 12:40,2.1,17511.0,United Kingdom
556467,84991,60 TEATIME FAIRY CAKE CASES,5,6/12/2011 11:17,0.55,13232.0,United Kingdom
577508,23337,EGG FRYING PAN MINT ,2,11/20/2011 12:45,2.08,18127.0,United Kingdom
579297,23389,SPACEBOY MINI BACKPACK,1,11/29/2011 11:23,8.29,,United Kingdom
547722,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,3/25/2011 10:19,0.29,12553.0,France
544597,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2/21/2011 17:42,2.95,16014.0,United Kingdom
